pic_name,object_name,spatial_relationship_with_user
scene_medium_3_1,Box,far right corner
scene_medium_3_1,Chair A,right of Crib B
scene_medium_3_1,Chair B,far right
scene_medium_3_1,Crib A,center left
scene_medium_3_1,Crib B,"center left, next to Crib A"
scene_medium_3_1,Lamp,center on wall
scene_medium_3_1,Rocking Horse,center foreground
scene_medium_3_1,Window,right on wall
scene_medium_3_11,Chair A,right center
scene_medium_3_11,Chair B,right center
scene_medium_3_11,Crib A,center left
scene_medium_3_11,Crib B,center
scene_medium_3_11,Rocking Horse,bottom center
scene_medium_3_11,Wall Lamp,top center
scene_medium_3_11,Window,top right
scene_medium_3_6,Bed A,behind and to the left of the rocking horse
scene_medium_3_6,Bed B,to the right of bed A
scene_medium_3_6,Chair A,to the far right of the beds
scene_medium_3_6,Chair B,next to chair A
scene_medium_3_6,Rocking Horse,closest to the user
scene_medium_3_6,Wall Lamp,above the beds
scene_medium_3_6,Window,on the right wall
